"Player","Team","Pos","Ht","Wt","Hometown","Exp","Debut","DOB","Age","G","MPG","PPG","RPG","APG"
"Jarace Walker","IND","PF","6-08","249","Baltimore, Maryland","","2024","2003-09-04","20","33","10.2","3.8","1.8","1.3"
"AJ Griffin","ATL","","6-06","222","","","2023","2003-08-25","20","20","8.1","2.4","0.9","0.2"
"Nikola Jovic","MIA","PF","6-09","223","Leicester, England","","2023","2003-06-09","20","52","19.9","7.9","4.6","2.0"
"Shaedon Sharpe","POR","SG","6-06","200","","","2023","2003-05-30","20","32","32.2","15.9","5.0","2.9"
"Dominick Barlow","SAS","C","6-09","214","Hackensack, New Jersey","","2023","2003-05-26","20","32","12.6","4.5","3.5","1.1"
"Ousmane Dieng","OKC","","6-07","216","","","2023","2003-05-21","20","35","10.2","3.9","1.4","1.0"
"Jeremy Sochan","SAS","PF","6-09","230","","","2023","2003-05-20","20","74","29.1","11.6","6.4","3.4"
"Jalen Hood-Schifino","LAL","PG","6-06","217","Penn Hills, Pennsylvania","","2024","2003-05-19","20","21","4.9","1.6","0.6","0.4"
"Jabari Smith","HOU","PF","6-10","220","Fayetteville, Georgia","","2023","2003-05-13","21","76","31.4","13.7","8.1","1.6"
"Malaki Branham","SAS","SG","6-05","180","","","2023","2003-05-12","21","75","20.7","9.2","2.0","2.1"
"Kendall Brown","IND","SF","6-08","205","Cottage Grove, MN","","2023","2003-05-11","21","12","5.3","1.9","0.6","0.4"
"Alex Fudge","LAL","","6-09","200","Jacksonville, Florida","","2024","2003-05-06","21","4","6.3","2.5","0.8","0.0"
"Dyson Daniels","NOP","PG","6-06","199","","","2023","2003-03-17","21","66","20.5","5.4","3.8","2.5"
"Blake Wesley","SAS","PG","6-05","181","South Bend, Indiana","","2023","2003-03-16","21","60","14.0","4.4","1.5","2.8"
"Brandin Podziemski","GSW","SG","6-05","205","Greenfield, Wisconsin","","2024","2003-02-25","21","73","26.4","9.3","5.9","3.7"
"Max Christie","LAL","SG","6-06","190","","","2023","2003-02-10","21","66","14.1","4.3","2.2","0.9"
"Ausar Thompson","DET","SF","6-07","218","Oakland, California","","2024","2003-01-30","21","63","24.8","8.8","6.3","1.8"
"Amen Thompson","HOU","PG","6-07","225","Oakland, California","","2024","2003-01-30","21","62","21.9","9.5","6.6","2.6"
"Caleb Houstan","ORL","SF","6-08","205","","","2023","2003-01-09","21","60","13.2","4.3","1.4","0.5"
"Terquavion Smith","PHI","SG","6-04","165","Greenville, NC","","2024","2002-12-31","21","14","5.6","3.7","0.3","0.9"
"Joshua Primo","LAC","PG","6-06","190","Toronto, Canada","","2022","2002-12-24","21","2","4.5","1.0","0.5","0.0"
"John Butler","WAS","","7-01","190","Mauldin, SC","","2023","2002-12-04","21","1","2.0","0.0","0.0","0.0"
"Josh Minott","MIN","SF","6-08","205","Boca Raton, Florida","","2023","2002-11-25","21","32","2.7","1.8","0.6","0.3"
"Brandon Miller","CHH","SF","6-09","200","Nashville, Tennessee","","2024","2002-11-22","21","74","31.7","17.3","4.3","2.3"
"Patrick Baldwin","WAS","PF","6-09","220","","","2023","2002-11-18","21","37","12.8","4.6","3.3","0.8"
"Paolo Banchero","ORL","PF","6-10","250","","","2023","2002-11-12","21","87","34.7","22.9","7.1","5.3"
"Mouhamed Gueye","ATL","PF","6-11","210","Dakar, Senegal","","2024","2002-11-09","21","7","10.3","3.4","3.1","0.6"
"Bryce McGowens","CHH","SG","6-07","179","","","2023","2002-11-08","21","56","15.1","5.4","1.8","0.9"
"Ibou Badji","POR","C","7-00","240","Dakar, Senegal","","2023","2002-10-13","21","18","11.8","1.9","2.8","0.7"
"Josh Giddey","OKC","PG","6-07","205","","","2022","2002-10-10","21","87","24.3","12.1","6.2","4.6"
"Jonathan Kuminga","GSW","PF","6-06","210","","","2022","2002-10-06","21","75","25.9","16.1","4.8","2.2"
"JD Davison","BOS","PG","6-03","195","Montgomery, AL","","2023","2002-10-03","21","6","5.8","2.7","1.7","1.7"
"Jaden Springer","PHI","SG","6-04","204","","","2022","2002-09-25","21","30","11.0","3.7","1.7","1.0"
"Peyton Watson","DEN","PF","6-08","200","","","2023","2002-09-11","21","88","17.4","6.3","3.1","1.0"
"JT Thor","CHH","PF","6-10","205","Omaha, Nebraska","","2022","2002-08-26","21","59","12.7","3.4","2.5","0.5"
"Kenny Lofton","MEM","","6-07","275","Port Arthur, Texas","","2023","2002-08-14","21","13","9.8","5.1","1.9","1.7"
"Jabari Walker","POR","PF","6-09","215","","","2023","2002-07-30","21","72","23.1","8.9","7.0","1.0"
"Maxwell Lewis","LAL","","6-07","195","Las vegas, Nevada","","2024","2002-07-27","21","27","3.2","0.4","0.1","0.3"
"Alperen Sengun","HOU","C","6-10","243","","","2022","2002-07-25","21","63","32.0","21.1","9.4","4.9"
"Dalen Terry","CHI","PG","6-07","195","Phoenix, Arizona","","2023","2002-07-12","21","61","11.2","3.0","2.0","1.4"
"Jaden Hardy","DAL","SG","6-04","198","Detroit, MI","","2023","2002-07-05","21","79","12.3","6.9","1.7","1.4"
"Olivier-Maxence Prosper","DAL","PF","6-08","212","","","2024","2002-07-03","21","34","9.3","3.6","2.3","0.6"
"Ryan Rollins","WAS","","6-04","180","Detroit, MI","","2023","2002-07-03","21","10","6.0","3.7","1.1","1.2"
"Jaylin Williams","OKC","C","6-10","240","Fort Smith, Arkansas","","2023","2002-06-29","21","76","12.4","4.1","3.4","1.5"
"Gui Santos","GSW","PF","6-08","209","—","","2024","2002-06-22","21","24","7.6","3.4","2.1","0.5"
"Bennedict Mathurin","IND","SG","6-06","210","","","2023","2002-06-19","21","60","25.7","14.6","3.9","2.0"
"Moses Moody","GSW","SF","6-06","205","","","2022","2002-05-31","21","66","16.9","8.2","3.0","0.9"
"Colby Jones","SAC","SG","6-06","205","Birmingham, Alabama","","2024","2002-05-28","21","28","6.4","2.3","1.4","0.8"
"Chet Holmgren","OKC","C","7-00","195","Minneapolis, MN","","2024","2002-05-01","22","89","29.3","16.4","7.9","2.4"
"Jordan Hawkins","NOP","SG","6-05","186","Gaithersburg, Maryland","","2024","2002-04-29","22","66","17.1","7.9","2.3","1.0"
"Julian Strawther","DEN","","6-07","209","Henderson, Nevada","","2024","2002-04-18","22","50","10.5","4.6","1.2","0.9"
"Keon Johnson","BRK","PG","6-05","186","Shelbyville, TN","","2022","2002-03-10","22","5","11.8","6.2","1.4","0.6"
"Usman Garuba","GSW","C","6-08","229","Mardrid, Spain","","2022","2002-03-09","22","7","2.3","0.4","1.1","0.3"
"Johnny Davis","WAS","SG","6-05","194","La Crosse, Wisconsin","","2023","2002-02-27","22","48","12.2","3.2","1.5","0.7"
"Jaden Ivey","DET","SG","6-04","195","","","2023","2002-02-13","22","77","28.3","15.4","3.4","3.8"
"Daishen Nix","MIN","","6-05","224","Fairbanks, AK","","2022","2002-02-13","22","15","3.0","1.8","0.2","0.5"
"Adama Sanogo","CHI","C","6-09","245","Bamako, Mali","","2024","2002-02-12","22","7","8.7","5.1","5.1","0.0"
"Jalen Green","HOU","SG","6-06","178","","","2022","2002-02-09","22","82","31.2","19.6","5.1","3.5"
"Moussa Diabate","LAC","","6-11","210","","","2023","2002-01-21","22","10","5.7","2.7","2.3","0.4"
"Isaiah Jackson","IND","C","6-10","206","","","2022","2002-01-10","22","67","12.5","6.4","4.0","0.8"
"Aleksej Pokusevski","OKC","C","7-00","208","","","2021","2001-12-26","22","10","13.9","5.2","3.2","1.2"
"Jalen Johnson","ATL","PF","6-09","220","","","2022","2001-12-18","22","56","33.2","16.0","8.7","3.6"
"Mark Williams","CHH","C","7-00","242","Norfolk, Virginia","","2023","2001-12-16","22","19","26.3","12.7","9.6","1.2"
"BJ Boston","LAC","SG","6-07","185","Norcross, GA","","2022","2001-11-28","22","31","10.8","5.5","1.7","0.5"
"TyTy Washington","MIL","PG","6-03","197","Phoenix, AZ","","2023","2001-11-15","22","10","5.1","1.4","0.5","0.5"
"Andre Jackson","MIL","SG","6-06","210","Schenectady, New York","","2024","2001-11-13","22","59","10.2","2.3","2.1","1.0"
"Day'Ron Sharpe","BRK","C","6-11","265","Greenville, North Carolina","","2022","2001-11-06","22","61","14.6","6.8","6.3","1.4"
"Jake LaRavia","MEM","SF","6-08","235","","","2023","2001-11-03","22","35","22.4","10.8","3.7","1.7"
"Cameron Thomas","BRK","SG","6-04","210","Yokosuka, Japan","","2022","2001-10-13","22","14","30.8","23.3","3.2","2.4"
"Cade Cunningham","DET","PG","6-08","220","","","2022","2001-09-25","22","62","33.0","22.8","4.4","7.5"
"Wendell Moore","MIN","SG","6-05","213","Richmond, Virginia","","2023","2001-09-18","22","23","3.0","0.9","0.6","0.3"
"Ziaire Williams","MEM","SF","6-08","185","","","2022","2001-09-12","22","49","20.7","8.6","3.7","1.5"
"Greg Brown","DAL","PF","6-09","205","Dallas, TX","","2022","2001-09-01","22","5","7.2","3.0","1.8","0.8"
"Franz Wagner","ORL","SF","6-09","220","","","2022","2001-08-27","22","79","32.3","19.7","5.4","3.8"
"Malcolm Cazalon","DET","","6-06","212","Roanne, France","","2024","2001-08-27","22","1","2.0","0.0","0.0","0.0"
"Patrick Williams","CHI","PF","6-08","225","Charlotte, North Carolina","","2021","2001-08-26","22","43","26.8","9.9","3.8","1.5"
"LaMelo Ball","CHH","PG","6-07","181","Chino Hills, California","","2021","2001-08-22","22","22","31.8","23.9","5.1","8.1"
"Anthony Edwards","MIN","SG","6-05","225","Atlanta, GA","","2021","2001-08-05","22","87","35.0","26.5","5.6","5.1"
"Ricky Council","PHI","SF","6-06","205","Durham, NC","","2024","2001-08-03","22","29","9.5","6.0","1.6","0.6"
"Scottie Barnes","TOR","SF","6-09","227","","","2022","2001-08-01","22","60","34.4","19.8","8.2","6.0"
"Killian Hayes","DET","PG","6-05","216","","","2021","2001-07-27","22","42","23.5","6.9","2.9","4.8"
"Walker Kessler","UTA","C","7-01","245","Atlanta, Georgia","","2023","2001-07-26","22","64","22.9","8.1","7.5","0.9"
"Ben Sheppard","IND","SG","6-06","195","Atlanta, Georgia","","2024","2001-07-16","22","64","14.9","4.9","1.9","1.0"
"Julian Champagnie","SAS","SF","6-08","215","","","2023","2001-06-29","22","74","19.5","6.8","2.8","1.4"
"Evan Mobley","CLE","PF","7-00","215","San Diego, California","","2022","2001-06-18","22","60","30.5","15.3","9.3","3.0"
"Theo Maledon","CHH","","6-05","176","Rouen, France","","2021","2001-06-12","22","13","12.8","3.7","1.4","1.8"
"Jalen Suggs","ORL","PG","6-04","205","","","2022","2001-06-03","22","82","27.0","12.7","3.2","2.8"
"Isaiah Stewart II","DET","PF","6-09","250","","","2021","2001-05-22","22","46","30.6","10.9","6.6","1.6"
"Tari Eason","HOU","","6-08","216","Portsmouth, Virginia","","2023","2001-05-10","23","22","21.3","9.8","7.0","1.2"
"Christian Braun","DEN","SF","6-06","218","Burlington, KS","","2023","2001-04-17","23","91","19.2","7.1","3.6","1.5"
"Jalen Williams","OKC","PF","6-06","195","","","2023","2001-04-14","23","78","31.4","19.1","4.2","4.6"
"Kira Lewis","NOP","","6-03","165","","","2021","2001-04-06","23","15","9.6","3.3","1.0","1.5"
"James Wiseman","DET","C","7-01","240","Nashville, Tennessee","","2021","2001-03-31","23","63","16.9","7.0","5.3","0.9"
"David Roddy","MEM","SF","6-06","255","Minneapolis, MN","","2023","2001-03-27","23","47","17.9","6.8","3.3","1.2"
"Johnny Juzang","UTA","SG","6-07","215","Los Angeles, CA","","2023","2001-03-17","23","20","18.1","7.2","1.8","1.2"
"Jaime Jaquez","MIA","SF","6-07","225","Irvine, California","","2024","2001-02-16","23","81","27.8","12.0","3.8","2.6"
"R.J. Hampton","MIA","PG","6-05","185","Dallas, TX","","2021","2001-02-07","23","7","10.3","1.4","0.9","1.1"
"Tre Mann","OKC","SG","6-05","190","","","2022","2001-02-03","23","12","24.0","9.6","3.7","4.1"
"Isaiah Wong","IND","","6-04","184","","","2024","2001-01-28","23","2","2.5","1.0","0.0","0.0"
"Isaac Okoro","CLE","SF","6-06","225","Atlanta, Georgia","","2021","2001-01-26","23","79","26.3","8.9","2.8","1.8"
"Santi Aldama","MEM","PF","6-11","215","","","2022","2001-01-10","23","60","26.3","10.8","5.7","2.2"
"Zeke Nnaji","DEN","C","6-11","240","","","2021","2001-01-09","23","60","9.3","3.2","2.1","0.5"
"KJ Martin","LAC","SF","6-07","215","Los Angeles, California","","2021","2001-01-06","23","2","12.5","3.9","2.3","0.9"
"Deni Avdija","WAS","SF","6-09","220","Beit Zera, Israel","","2021","2001-01-03","23","75","29.4","14.7","7.2","3.8"
"E.J. Liddell","NOP","","6-07","240","—","","2024","2000-12-18","23","9","2.2","0.4","0.6","0.1"
"Onyeka Okongwu","ATL","C","6-09","245","Los Angeles, California","","2021","2000-12-11","23","55","25.2","10.2","6.8","1.3"
"Talen Horton-Tucker","UTA","PG","6-04","233","Chicago, Illinois","","2020","2000-11-25","23","51","19.4","10.1","2.4","3.5"
"Lester Quinones","GSW","SG","6-05","208","Brentwood, New York","","2023","2000-11-16","23","37","10.3","4.5","2.0","1.0"
"Josh Green","DAL","SF","6-06","210","","","2021","2000-11-16","23","66","24.7","7.9","3.2","2.1"
"Trendon Watford","BRK","PF","6-09","240","Birmingham, AL","","2022","2000-11-09","23","62","13.0","6.7","3.0","1.3"
"Jalen Wilson","BRK","PF","6-08","225","Arlington, Texas","","2024","2000-11-04","23","42","15.3","5.1","3.1","1.1"
"Tyrese Maxey","PHI","PG","6-03","198","Dallas, TX","","2021","2000-11-04","23","77","37.6","26.2","3.8","6.2"
"Jeremiah Robinson-Earl","NOP","PF","6-09","230","Kansas City, Missouri","","2022","2000-11-03","23","37","8.8","3.2","2.1","0.5"
"Charles Bassey","SAS","","6-11","235","","","2022","2000-10-28","23","19","10.3","3.3","3.8","1.1"
"MarJon Beauchamp","MIL","SG","6-07","175","Yakima, WA","","2023","2000-10-12","23","52","11.7","4.2","1.9","0.6"
"Jaden McDaniels","MIN","SF","6-09","200","Federal Way, Washington","","2021","2000-09-29","23","80","29.2","10.5","3.2","1.4"
"Marcus Sasser","DET","PG","6-02","195","Dallas, Texas","","2024","2000-09-21","23","71","18.5","8.3","1.8","3.2"
"James Bouknight","CHH","SG","6-05","190","New York, New York","","2022","2000-09-18","23","13","5.6","3.8","0.7","0.5"
"Bones Hyland","LAC","PG","6-03","173","","","2022","2000-09-14","23","39","13.6","6.8","1.5","2.4"
"Miles McBride","NYK","PG","6-02","200","Cincinnati, Ohio","","2022","2000-09-08","23","77","19.7","8.5","1.6","1.7"
"Vincent Williams","MEM","SF","6-06","205","Toledo, Ohio","","2023","2000-08-30","23","51","28.1","10.2","5.7","3.5"
"Jared Butler","WAS","PG","6-03","195","Reserve, LA","","2022","2000-08-25","23","40","13.6","6.3","1.4","3.2"
"Devin Vassell","SAS","SG","6-07","194","","","2021","2000-08-23","23","68","32.6","19.4","3.8","4.1"
"Keegan Murray","SAC","PF","6-08","225","","","2023","2000-08-19","23","79","33.2","15.4","5.5","1.6"
"Kris Murray","POR","SF","6-08","220","Cedar Rapids, Iowa","","2024","2000-08-19","23","61","21.7","6.2","3.7","1.3"
"AJ Lawson","DAL","SF","6-06","177","Brampton, Canada","","2023","2000-07-15","23","39","7.7","3.7","1.4","0.5"
"Orlando Robinson","MIA","C","7-00","235","Las Vegas, Nevada","","2023","2000-07-10","23","31","9.3","3.2","2.7","1.2"
"Zion Williamson","NOP","PF","6-06","285","","","2020","2000-07-06","23","71","31.0","23.1","5.8","5.0"
"Trey Murphy","NOP","PF","6-09","206","Durham, North Carolina","","2022","2000-06-18","23","63","30.1","14.5","5.1","2.2"
"RJ Barrett","NYK","SF","6-06","202","Toronto, Canada","","2020","2000-06-14","23","26","31.0","20.2","5.5","3.3"
"Hunter Tyson","DEN","","6-08","217","Gastonia, North Carolina","","2024","2000-06-13","23","18","2.5","1.2","0.6","0.2"
"Dereon Seabron","NOP","","6-07","180","","","2023","2000-05-26","23","6","8.8","2.3","1.2","0.7"
"Colin Castleton","LAL","C","6-11","250","Pembroke Pines, Florida","","2024","2000-05-25","23","13","3.9","1.8","0.9","0.2"
"Keyontae Johnson","OKC","PF","6-06","230","Norfolk, Virginia","","2024","2000-05-24","23","9","6.8","1.2","1.1","0.4"
"Jaxson Hayes","LAL","C","6-11","220","Norman, OK","","2020","2000-05-23","23","74","11.8","4.1","3.1","0.5"
"Cole Anthony","ORL","SG","6-03","190","","","2021","2000-05-15","23","88","21.4","11.1","3.7","2.8"
"Jacob Toppin","NYK","PF","6-09","205","Brooklyn, New York","","2024","2000-05-08","24","5","6.6","2.6","1.4","0.6"
"Quentin Grimes","NYK","SG","6-05","205","","","2022","2000-05-08","24","46","19.7","7.2","2.0","1.3"
"Toumani Camara","POR","SF","6-08","220","Brussells, Belgium","","2024","2000-05-08","24","70","24.3","7.5","4.8","1.3"
"Ochai Agbaji","UTA","SF","6-05","215","","","2023","2000-04-20","24","51","20.6","5.8","2.7","1.1"
"Filip Petrusev","PHI","","6-11","235","","","2024","2000-04-15","24","1","4.0","1.5","0.5","0.0"
"Ron Harper","TOR","","6-06","245","Paterson, New Jersey","","2023","2000-04-12","24","1","2.0","0.0","0.0","1.0"
"Seth Lundy","ATL","SF","6-06","220","Philadelphia, PA","","2024","2000-04-02","24","9","5.3","1.6","0.8","0.0"
"Jalen Smith","IND","C","6-10","225","","","2021","2000-03-16","24","64","16.5","9.5","5.5","1.0"
"Tyrese Haliburton","IND","PG","6-05","175","Kenosha, WI","","2021","2000-02-29","24","80","32.2","20.0","4.0","10.5"
"Craig Porter","CLE","PG","6-02","186","Terre Haute, Indiana","","2024","2000-02-26","24","49","12.7","5.8","2.2","2.4"
"Trayce Jackson-Davis","GSW","C","6-09","245","Long Beach, California","","2024","2000-02-22","24","66","16.5","8.1","5.1","1.2"
"Coby White","CHI","PG","6-04","185","Goldsboro, North Carolina","","2020","2000-02-16","24","81","36.1","19.3","4.6","5.1"
"Nassir Little","PHO","SF","6-05","220","Pensacola, FL","","2020","2000-02-11","24","45","9.9","3.5","1.7","0.5"
"Darius Garland","CLE","PG","6-01","175","Gary, Indiana","","2020","2000-01-26","24","67","33.1","17.5","2.9","6.3"
"Jordan Miller","LAC","SF","6-07","195","Anaheim, California","","2024","2000-01-23","24","7","3.3","1.9","0.7","0.0"
"Jules Bernard","WAS","SG","6-07","210","Los Angeles, CA","","2024","2000-01-21","24","17","8.1","4.4","1.5","0.9"
"Tyler Herro","MIA","SG","6-05","195","","","2020","2000-01-20","24","49","33.5","20.6","5.2","4.7"
"Ayo Dosunmu","CHI","SG","6-05","200","","","2022","2000-01-17","24","78","28.8","12.2","2.8","3.2"
"Andrew Nembhard","IND","SG","6-05","193","","","2023","2000-01-16","24","77","25.7","9.7","2.2","4.2"
"Luka Samanic","UTA","PF","6-10","230","","","2020","2000-01-09","24","39","9.7","4.5","2.7","0.5"
"Keon Ellis","SAC","SG","6-06","175","","","2023","2000-01-08","24","58","17.6","5.6","2.2","1.6"
"Tre Jones","SAS","PG","6-03","185","","","2021","2000-01-08","24","77","27.2","10.0","3.8","6.2"
"Kobe Brown","LAC","PF","6-08","252","Huntsville, Alabama","","2024","2000-01-01","24","42","9.0","2.1","1.5","0.6"
"Markquis Nowell","TOR","","5-07","160","New York, New York","","2024","1999-12-25","24","1","3.0","2.0","2.0","2.0"
"Oscar Tshiebwe","IND","C","6-09","260","","","2024","1999-11-27","24","9","4.4","3.0","1.9","0.2"
"Bol Bol","PHO","PF","7-02","235","Khartoum, Sudan","","2020","1999-11-16","24","42","11.0","5.4","3.4","0.4"
"Jontay Porter","TOR","C","6-11","240","Columbia, MO","","2021","1999-11-15","24","25","13.9","4.6","3.3","2.4"
"Drew Peterson","BOS","SF","6-09","205","Libertyville, IL","","2024","1999-11-09","24","3","7.3","3.7","0.3","0.3"
"Dalano Banton","BOS","PG","6-09","204","Toronto, Canada","","2022","1999-11-07","24","21","19.8","10.9","3.5","2.5"
"Jalen Slawson","SAC","","6-07","215","","","2024","1999-10-22","24","7","4.1","1.1","1.0","0.1"
"Jalen Pickett","DEN","PG","6-04","209","Rochester, New York","","2024","1999-10-22","24","24","4.6","1.6","0.6","0.9"
"Javon Freeman-Liberty","TOR","PG","6-04","180","Chicago, IL","","2024","1999-10-20","24","20","19.6","7.6","3.5","2.0"
"Aaron Nesmith","IND","SF","6-06","213","","","2021","1999-10-16","24","83","27.9","12.0","4.0","1.6"
"Moses Brown","POR","C","7-02","245","New York, NY","","2020","1999-10-13","24","22","8.6","3.4","4.0","0.3"
"Keldon Johnson","SAS","SF","6-05","211","","","2020","1999-10-11","24","69","29.0","15.7","5.4","2.8"
"AJ Green","MIL","PG","6-04","190","Cedar Falls, Iowa","","2023","1999-09-27","24","59","11.1","4.6","1.2","0.5"
"Isaiah Mobley","CLE","PF","6-10","240","Temecula, California","","2023","1999-09-24","24","8","9.8","3.9","1.4","0.9"
"Terry Taylor","CHI","PF","6-05","230","Bowling Green, Kentucky","","2022","1999-09-23","24","26","6.6","1.7","1.4","0.4"
"Precious Achiuwa","TOR","PF","6-09","225","Port Harcourt, Nigeria","","2021","1999-09-19","24","25","21.3","7.4","6.4","1.2"
"Udoka Azubuike","PHO","C","7-00","270","Lagos, Nigeria","","2021","1999-09-17","24","15","7.1","2.3","2.1","0.2"
"Jaren Jackson","MEM","PF","6-11","242","","","2019","1999-09-15","24","66","31.7","22.5","5.5","2.3"
"Cam Reddish","LAL","SF","6-08","218","Norristown, Pennsylvania","","2020","1999-09-01","24","49","20.3","5.5","2.1","1.0"
"Jared Rhoden","DET","SF","6-06","210","Bronx, New York","","2023","1999-08-27","24","17","13.9","4.9","1.9","0.8"
"Naz Reid","MIN","C","6-09","250","Asbury Park, New Jersey","","2020","1999-08-26","24","89","23.4","13.2","5.0","1.3"
"Kevin Knox","DET","PF","6-07","215","Phoenix, AZ","","2019","1999-08-11","24","31","17.5","7.2","2.4","0.7"
"Ja Morant","MEM","PG","6-03","175","Dalzell, SC","","2020","1999-08-10","24","9","34.8","25.1","5.7","8.1"
"Kessler Edwards","SAC","SF","6-08","215","","","2022","1999-08-09","24","43","5.9","2.2","1.0","0.3"
"Troy Brown","MIN","SF","6-06","215","Las Vegas, NV","","2019","1999-07-28","24","36","13.7","4.3","2.5","1.0"
"Goga Bitadze","ORL","C","6-11","250","Sagarejo, Georgia","","2020","1999-07-20","24","60","15.6","5.2","4.8","1.4"
"Neemias Queta","BOS","C","7-00","245","","","2022","1999-07-13","24","30","10.8","5.2","4.2","0.7"
"Isaiah Joe","OKC","PG","6-05","180","","","2021","1999-07-02","24","85","17.8","8.1","2.3","1.2"
"Collin Gillespie","DEN","PG","6-03","195","Philadelphia, Pennsylvania","","2024","1999-06-25","24","23","9.3","3.8","1.0","1.2"
"Sandro Mamukelashvili","SAS","C","6-11","240","New York, New York","","2022","1999-06-23","24","42","10.1","4.5","3.5","1.1"
"Saben Lee","PHO","PG","6-02","183","Phoenix, Arizona","","2021","1999-06-23","24","24","7.2","3.0","1.2","1.2"
"Jordan Poole","WAS","SG","6-04","195","Milwaukee, WI","","2020","1999-06-19","24","78","29.7","17.4","2.7","4.4"
"Immanuel Quickley","NYK","PG","6-03","188","","","2021","1999-06-17","24","30","29.0","17.0","3.8","4.9"
"Leaky Black","CHH","SF","6-09","205","Concord, North Carolina","","2024","1999-06-14","24","26","10.5","2.7","1.8","0.9"
"Paul Reed","PHI","C","6-09","220","","","2021","1999-06-14","24","89","18.0","6.9","5.7","1.2"
"Anfernee Simons","POR","SG","6-03","185","","","2019","1999-06-08","24","46","33.8","22.6","3.6","5.5"
"Nathaniel Hinton","HOU","SF","6-05","210","Gastonia, North Carolina","","2021","1999-06-08","24","13","5.2","2.5","1.7","0.8"
"Cole Swider","MIA","PF","6-09","220","Providence, RI","","2023","1999-05-08","25","16","4.9","2.6","0.4","0.3"
"Luguentz Dort","OKC","SF","6-03","215","","","2020","1999-04-19","25","86","28.4","10.8","3.6","1.5"
"Nicolas Claxton","BRK","C","6-11","220","Greenville, South Carolina","","2020","1999-04-17","25","71","29.3","11.8","9.9","2.1"
"Wendell Carter","ORL","C","6-09","255","Atlanta, Georgia","","2019","1999-04-16","25","62","25.2","10.6","6.9","1.7"
